Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
2.74,0.02292235,0.023486647,2.59E-05
2.76,0.02295213,0.023477817,8.19E-05
2.78,0.022926955,0.02347224,2.19E-05
2.8,0.022937086,0.023488196,7.01E-05
2.82,0.022847746,0.023513911,5.06E-05
2.84,0.022817813,0.023527234,8.04E-05
2.86,0.02284836,0.023507405,1.41E-05
2.88,0.022830707,0.023466818,1.23E-05
2.9,0.02281858,0.023511278,0.000111066
2.92,0.022837615,0.023504772,0.000100634
2.94,0.022862943,0.023521812,-2.53E-05
2.96,0.022917284,0.023512672,4.96E-05
2.98,0.022950595,0.023483549,1.61E-05
3,0.022953972,0.023514841,0.000107231
3.02,0.022943073,0.023474719,3.37E-05
3.04,0.022885969,0.023522122,0.000107998
3.06,0.022951669,0.023478901,-5.91E-05
3.08,0.022964717,0.023494083,2.67E-05
3.1,0.022944301,0.023493153,0.000110912
3.12,0.022873689,0.023498885,8.04E-05
3.14,0.022835926,0.023485872,6.57E-05
3.16,0.022873075,0.023451482,-7.55E-05
3.18,0.022883513,0.023502138,9.82E-05
3.2,0.022910837,0.023490985,0.000109839
3.22,0.022891495,0.023480141,7.26E-05
3.24,0.022831475,0.02349873,-5.28E-05
3.26,0.022877066,0.023479521,7.46E-05
3.28,0.02286018,0.023477662,7.03E-05
3.3,0.022900706,0.023470846,7.87E-05
3.32,0.022936779,0.023524291,6.04E-05
3.34,0.022838996,0.023526304,1.72E-05
3.36,0.022876912,0.023523671,-7.98E-06
3.38,0.022890267,0.023525685,7.93E-05
3.4,0.022962108,0.023476578,0.000110145
3.42,0.022890421,0.023506631,2.67E-05
3.44,0.022898403,0.023506321,5.78E-05
3.46,0.022903162,0.023514376,-4.26E-05
3.48,0.022975616,0.023479986,8.94E-05
3.5,0.022992195,0.023483859,7.21E-05
3.52,0.022930793,0.02348169,7.38E-05
3.54,0.022891035,0.023477662,1.76E-05
3.56,0.022872307,0.023471156,2.26E-05
3.58,0.022869544,0.02347224,5.00E-05
3.6,0.022895793,0.023466663,7.87E-05
3.62,0.022864325,0.023480451,8.08E-05
3.64,0.0227713,0.023505701,4.68E-05
3.66,0.022803537,0.023494548,-5.52E-06
3.68,0.022835005,0.02350787,8.82E-05
3.7,0.022902701,0.023490365,6.69E-05
3.72,0.022873842,0.023507405,3.65E-05
3.74,0.022890421,0.023538542,6.12E-05
3.76,0.022946604,0.023507715,3.28E-05
3.78,0.022998796,0.023502758,1.27E-05
3.8,0.022976384,0.023505082,5.45E-05
3.82,0.022962722,0.023503068,9.57E-05
3.84,0.022943994,0.023513757,6.44E-06
3.86,0.022924652,0.023500744,5.80E-05
3.88,0.022895333,0.023477972,2.01E-05
3.9,0.022903315,0.023476888,7.84E-05
3.92,0.022884127,0.02346465,-4.30E-06
3.94,0.02280369,0.023470071,0.000121497
3.96,0.022816278,0.023478127,5.89E-05
3.98,0.022833163,0.023493153,3.25E-05
4,0.022856957,0.023475029,3.73E-05
4.02,0.022907613,0.023468213,2.49E-05
4.04,0.022862329,0.023485098,7.84E-05
4.06,0.02288643,0.02349935,6.72E-05
4.08,0.022908381,0.023525685,3.90E-05
4.1,0.022942613,0.023493463,5.11E-05
4.12,0.022950288,0.023483859,1.50E-05
4.14,0.022948292,0.023517939,4.34E-05
4.16,0.022902701,0.023523671,3.68E-05
4.18,0.022868623,0.023536374,9.86E-05
4.2,0.022930793,0.023494083,6.60E-05
4.22,0.02292588,0.023492069,-6.89E-05
4.24,0.022878908,0.023514996,0.000102935
4.26,0.02289303,0.023487886,8.48E-05
4.28,0.022838229,0.023508025,5.02E-05
4.3,0.022941231,0.023446525,3.80E-05
4.32,0.022899171,0.023474564,4.60E-06
4.34,0.022871847,0.023491914,7.39E-05
4.36,0.022912218,0.023471311,2.73E-05
4.38,0.022842373,0.023475803,0.00013377
4.4,0.022901013,0.023461396,-8.59E-06
4.42,0.022850356,0.023496406,3.19E-05
4.44,0.022876452,0.023486492,9.34E-05
4.46,0.02286325,0.023482,-2.49E-05
4.48,0.022903008,0.023507095,0.000149724
4.5,0.022877526,0.023499505,1.69E-05
4.52,0.022901934,0.023535134,1.18E-05
4.54,0.022956121,0.023509109,6.66E-05
4.56,0.022931253,0.023506476,2.13E-05
4.58,0.022953972,0.023513602,6.15E-05
4.6,0.022951055,0.023493928,9.51E-05
4.62,0.022888272,0.023525065,-4.91E-06
4.64,0.022932481,0.023474564,6.14E-06
4.66,0.022889346,0.023513447,8.31E-05
4.68,0.022903008,0.023477507,8.58E-05
4.7,0.022866934,0.023491139,3.16E-05
4.72,0.022804304,0.023503997,3.02E-05
4.74,0.022840838,0.023449468,6.29E-05
4.76,0.022835005,0.02348107,7.29E-05
4.78,0.022881824,0.023465734,4.74E-05
4.8,0.022867855,0.023477352,6.32E-05
4.82,0.02287507,0.023482155,-2.10E-05
4.84,0.022907306,0.023495012,8.10E-05
4.86,0.022920661,0.02348959,6.77E-05
4.88,0.02296702,0.02349021,2.98E-05
4.9,0.022974235,0.023494238,6.03E-05
4.92,0.022908688,0.023529403,1.17E-05
4.94,0.022960266,0.023512207,5.89E-05
4.96,0.02291928,0.023513757,8.67E-05
4.98,0.022918052,0.023519798,1.37E-05
5,0.022917284,0.023491294,7.67E-07
5.02,0.022868469,0.02349873,7.10E-05
5.04,0.022817199,0.023519024,8.77E-05
5.06,0.02284483,0.023490365,6.58E-05
5.08,0.022833931,0.023486647,2.59E-05
5.1,0.022903008,0.023470381,3.67E-05
5.12,0.022885662,0.023492534,3.30E-05
5.14,0.022838843,0.023473634,0.000111373
5.16,0.022888732,0.023443582,4.45E-06
5.18,0.022890267,0.023511898,5.89E-05
5.2,0.022921429,0.023472085,1.76E-05
5.22,0.022945529,0.023483549,0.000117049
5.24,0.022954586,0.023479986,-1.63E-05
5.26,0.022885355,0.02350849,3.16E-05
5.28,0.022926494,0.023499195,0.000123952
5.3,0.022906232,0.023482155,-1.44E-05
5.32,0.022971625,0.02352522,5.68E-05
5.34,0.022925266,0.023489281,3.99E-05
5.36,0.022873382,0.023533121,9.19E-05
5.38,0.022863711,0.023497646,-4.94E-05
5.4,0.022880596,0.023512362,0.000138526
5.42,0.022875684,0.02349021,4.11E-05
5.44,0.02287154,0.023468987,3.07E-07
5.46,0.022849742,0.023514066,8.44E-05
5.48,0.022813361,0.023503223,4.77E-05
5.5,0.022894105,0.023491914,6.40E-05
5.52,0.022875377,0.023478747,4.14E-06
5.54,0.022873535,0.023498885,7.79E-05
5.56,0.022895947,0.023440483,6.38E-05
5.58,0.022873689,0.023508644,2.06E-05
5.6,0.022944608,0.023492843,2.84E-05
5.62,0.022951669,0.02346434,9.20E-05
5.64,0.022937393,0.02349021,9.00E-05
5.66,0.022963182,0.023492534,-9.05E-05
5.68,0.022900245,0.023509884,7.32E-05
5.7,0.022958884,0.023477197,0.000130242
5.72,0.022923731,0.023484788,7.52E-06
5.74,0.02289871,0.02349052,1.56E-05
5.76,0.022858338,0.023529248,7.44E-05
5.78,0.022876298,0.02350787,8.53E-05
5.8,0.022807988,0.023484478,-4.30E-05
5.82,0.022823339,0.023508025,0.000135457
5.84,0.022846518,0.023509109,1.86E-05
5.86,0.022830707,0.023510968,8.59E-05
5.88,0.022873228,0.023487731,-1.61E-05
5.9,0.02287768,0.023506786,7.79E-05
5.92,0.022914368,0.023495787,9.25E-05
5.94,0.022908841,0.023499195,-1.60E-05
5.96,0.022988664,0.023485098,8.64E-05
5.98,0.022928644,0.023466354,1.99E-05
6,0.022961187,0.023486802,5.54E-05
6.02,0.022955353,0.02347255,-2.47E-05
6.04,0.022905771,0.023501054,0.000165218
6.06,0.022939696,0.02347255,5.12E-05
6.08,0.022926648,0.023467283,-7.04E-05
6.1,0.022836387,0.023501364,7.26E-05
6.12,0.022880289,0.023496561,0.000131009
6.14,0.022829019,0.023495322,5.03E-05
6.16,0.022838996,0.023468058,-2.75E-05
6.18,0.022900859,0.023493308,7.03E-05
6.2,0.022847132,0.023498265,0.00011214
6.22,0.022858492,0.023500279,-2.04E-05
6.24,0.022840071,0.023522432,7.35E-05
6.26,0.022900245,0.023491294,5.35E-05
6.28,0.022889807,0.023489745,5.40E-05
6.3,0.022909302,0.023523671,3.48E-05
6.32,0.022912065,0.023510968,5.06E-05
6.34,0.02294292,0.023531262,6.15E-05
6.36,0.022933709,0.02349873,-1.04E-05
6.38,0.022929718,0.023467283,9.05E-05
6.4,0.022949827,0.023500279,3.56E-05
6.42,0.022947678,0.023469607,5.61E-05
6.44,0.022893798,0.023493618,1.46E-05
6.46,0.022929872,0.023480141,7.84E-05
6.48,0.022912372,0.023470846,5.22E-05
6.5,0.022865246,0.02347286,2.45E-05
6.52,0.022842988,0.023466973,4.57E-05
6.54,0.022825795,0.023491604,7.27E-05
6.56,0.022844062,0.023507715,8.31E-05
6.58,0.02283961,0.023475184,-7.21E-06
6.6,0.022851891,0.023479676,4.48E-05
6.62,0.022862329,0.023510813,8.68E-05
6.64,0.02288075,0.023500124,3.87E-05
6.66,0.022891495,0.023528628,1.21E-05
6.68,0.022931253,0.023496406,9.39E-05
6.7,0.022967787,0.023500899,4.33E-05
6.72,0.022989278,0.023503377,1.84E-06
6.74,0.022932481,0.023505391,5.26E-05
6.76,0.022904543,0.023511123,2.73E-05
6.78,0.022926955,0.02349052,0.000119196
6.8,0.022922503,0.023511898,3.37E-05
6.82,0.022943841,0.023486182,-4.08E-05
6.84,0.022876298,0.023482155,9.62E-05
6.86,0.022801541,0.023482929,3.54E-05
6.88,0.022857417,0.023478901,0.000121497
6.9,0.022876759,0.02348169,2.24E-05
6.92,0.022887351,0.023474254,3.11E-05
6.94,0.02285097,0.023484168,1.73E-05
6.96,0.022838689,0.023512982,6.21E-05
6.98,0.022886123,0.023469607,9.59E-05
7,0.022867548,0.023489126,6.35E-05
7.02,0.022916517,0.023470846,3.84E-06
7.04,0.022915442,0.023499969,1.53E-07
7.06,0.022934784,0.023518559,0.000102168
7.08,0.022910223,0.023526459,4.43E-05
7.1,0.02291099,0.023491449,8.08E-05
7.12,0.022965178,0.023477662,-1.12E-05
7.14,0.022933249,0.023530487,2.90E-05
7.16,0.022913139,0.023495477,8.31E-05
7.18,0.022902855,0.023510813,5.11E-05
7.2,0.022911451,0.0234899,3.59E-05
7.22,0.022896561,0.023493773,5.34E-05
7.24,0.022858338,0.023489126,2.67E-05
7.26,0.022858799,0.02346403,3.62E-05
7.28,0.022853426,0.023485872,0.00010631
7.3,0.022868469,0.023489126,5.83E-05
7.32,0.022858952,0.023483394,-3.59E-05
7.34,0.022843755,0.023494238,8.08E-05
7.36,0.02290792,0.023471001,4.46E-05
7.38,0.022883513,0.023486957,0.000120117
7.4,0.022874456,0.023491139,-1.04E-05
7.42,0.022951362,0.023512207,2.10E-05
7.44,0.022915749,0.023497181,8.01E-05
7.46,0.022946604,0.023505082,2.45E-05
7.48,0.022951209,0.023499195,7.75E-05
7.5,0.022880289,0.023507405,1.67E-05
7.52,0.02295827,0.023492843,6.57E-05
7.54,0.022920968,0.02349935,2.79E-05
7.56,0.022909148,0.023508644,1.55E-05
7.58,0.022906846,0.023501673,7.27E-05
7.6,0.022847439,0.023493153,0.000150645
7.62,0.022861562,0.023466508,-0.000100021
7.64,0.022843295,0.023500589,7.58E-05
7.66,0.022849588,0.023498575,0.00011352
7.68,0.022900245,0.023477507,2.30E-05
7.7,0.022888118,0.023462791,7.29E-05
7.72,0.022837461,0.023519333,-4.31E-05
