Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
4.86,-0.015848641,,
4.88,-0.015846954,,
4.9,-0.0158468,,
4.92,-0.015830234,,
4.94,-0.015835756,,
4.96,-0.015850788,,
4.98,-0.015849561,,
5,-0.015865668,,
5.02,-0.015876405,,
5.04,-0.015863367,,
5.06,-0.015871957,,
5.08,-0.015879473,,
5.1,-0.015890058,,
5.12,-0.015899568,,
5.14,-0.015861373,,
5.16,-0.015868429,,
5.18,-0.015864134,,
5.2,-0.015826859,,
5.22,-0.015859072,,
5.24,-0.015848794,,
5.26,-0.015802316,,
5.28,-0.015830847,,
5.3,-0.015807838,,
5.32,-0.015867662,,
5.34,-0.015830387,,
5.36,-0.015858612,,
5.38,-0.015879627,,
5.4,-0.015890518,,
5.42,-0.01590417,,
5.44,-0.015880701,,
5.46,-0.015906318,,
5.48,-0.015887603,,
5.5,-0.015901409,,
5.52,-0.015874411,,
5.54,-0.015836676,,
5.56,-0.015816428,,
5.58,-0.015869503,,
5.6,-0.015815661,,
5.62,-0.01579572,,
5.64,-0.015833148,,
5.66,-0.015845726,,
5.68,-0.015815047,,
5.7,-0.015830694,,
5.72,-0.01588745,,
5.74,-0.015868736,,
5.76,-0.015881161,,
5.78,-0.015885609,,
5.8,-0.015896193,,
5.82,-0.015903556,,
5.84,-0.015893126,,
5.86,-0.015892665,,
5.88,-0.015875639,,
5.9,-0.015860146,,
5.92,-0.015854163,,
5.94,-0.015834835,,
5.96,-0.015831767,,
5.98,-0.01583008,,
6,-0.015832534,,
6.02,-0.015813207,,
6.04,-0.015814587,,
6.06,-0.01583867,,
6.08,-0.01586398,,
6.1,-0.015853856,,
6.12,-0.015858305,,
6.14,-0.015889444,,
6.16,-0.015882695,,
6.18,-0.015902789,,
6.2,-0.015903403,,
6.22,-0.01591322,,
6.24,-0.015867048,,
6.26,-0.015877326,,
6.28,-0.015869043,,
6.3,-0.015830694,,
6.32,-0.015850175,,
6.34,-0.015837136,,
6.36,-0.015808605,,
6.38,-0.015811826,,
6.4,-0.015826245,,
6.42,-0.015836063,,
6.44,-0.015847414,,
6.46,-0.01586352,,
6.48,-0.015865668,,
6.5,-0.015876712,,
6.52,-0.015880854,,
6.54,-0.015875792,,
6.56,-0.015902943,,
6.58,-0.015902022,,
6.6,-0.015881774,,
6.62,-0.015858612,,
6.64,-0.015858765,,
6.66,-0.015861833,,
6.68,-0.015848641,,
6.7,-0.015839284,,
6.72,-0.015841431,,
6.74,-0.015818422,,
6.76,-0.015836676,,
6.78,-0.015829467,,
6.8,-0.015830387,,
6.82,-0.015870116,,
6.84,-0.01587027,,
6.86,-0.015868276,,
6.88,-0.01585355,,
6.9,-0.015887143,,
6.92,-0.015900335,,
6.94,-0.01588791,,
6.96,-0.015885456,,
6.98,-0.015866281,,
7,-0.015863213,,
7.02,-0.015865054,,
7.04,-0.015859379,,
7.06,-0.01582962,,
7.08,-0.015839437,,
7.1,-0.015831614,,
7.12,-0.015838824,,
7.14,-0.0158287,,
7.16,-0.015829467,,
7.18,-0.015865054,,
7.2,-0.015879473,,
7.22,-0.015864594,,
7.24,-0.015856618,,
7.26,-0.015885149,,
7.28,-0.015898494,,
7.3,-0.015886376,,
7.32,-0.015884382,,
7.34,-0.015853243,,
7.36,-0.015876099,,
7.38,-0.015847414,,
7.4,-0.015840971,,
7.42,-0.01587165,,
7.44,-0.015824405,,
7.46,-0.015839284,,
7.48,-0.015842505,,
7.5,-0.015832841,,
7.52,-0.015846493,,
7.54,-0.015856924,,
7.56,-0.015873951,,
7.58,-0.015869963,,
7.6,-0.015851555,,
7.62,-0.015883308,,
7.64,-0.015877633,,
7.66,-0.015869656,,
7.68,-0.015891285,,
7.7,-0.015882081,,
7.72,-0.015872264,,
7.74,-0.015832534,,
7.76,-0.015849101,,
7.78,-0.015889137,,
7.8,-0.015817195,,
7.82,-0.015846187,,
7.84,-0.015849408,,
7.86,-0.015818269,,
7.88,-0.015837903,,
7.9,-0.015858765,,
7.92,-0.015866895,,
7.94,-0.015836983,,
7.96,-0.015877172,,
7.98,-0.01589466,,
8,-0.015861066,,
8.02,-0.015889444,,
8.04,-0.015888064,,
8.06,-0.01587932,,
8.08,-0.015867202,,
8.1,-0.015877786,,
8.12,-0.015855851,,
8.14,-0.015827166,,
8.16,-0.015864594,,
8.18,-0.015814894,,
8.2,-0.015845726,,
8.22,-0.0158468,,
8.24,-0.015829006,,
8.26,-0.015843732,,
8.28,-0.015856004,,
8.3,-0.015846187,,
8.32,-0.01588837,,
8.34,-0.015865821,,
8.36,-0.015887143,,
8.38,-0.015876252,,
8.4,-0.015890518,,
8.42,-0.015872417,,
8.44,-0.015874105,,
8.46,-0.015884535,,
8.48,-0.015856618,,
8.5,-0.015844346,,
8.52,-0.015856924,,
8.54,-0.015845113,,
8.56,-0.0158287,,
8.58,-0.015856157,,
8.6,-0.015831614,,
8.62,-0.01583867,,
8.64,-0.015859992,,
8.66,-0.015850022,,
8.68,-0.015848181,,
8.7,-0.015876252,,
8.72,-0.015864134,,
8.74,-0.015889597,,
8.76,-0.015885609,,
8.78,-0.015870883,,
8.8,-0.015861219,,
8.82,-0.01590371,,
8.84,-0.015876099,,
8.86,-0.015859992,,
8.88,-0.015850175,,
8.9,-0.015832074,,
8.92,-0.015858305,,
8.94,-0.015825018,,
8.96,-0.015844192,,
8.98,-0.01582962,,
9,-0.015826705,,
9.02,-0.015864901,,
9.04,-0.015845726,,
9.06,-0.015872264,,
9.08,-0.015865821,,
9.1,-0.015893586,,
9.12,-0.015874565,,
9.14,-0.015885916,,
9.16,-0.01589466,,
9.18,-0.015878246,,
9.2,-0.015863827,,
9.22,-0.015851402,,
9.24,-0.015850942,,
9.26,-0.015858305,,
9.28,-0.015844039,,
9.3,-0.015822257,,
9.32,-0.015844192,,
9.34,-0.015814741,,
9.36,-0.015881928,,
9.38,-0.01584542,,
9.4,-0.015846493,,
9.42,-0.015880701,,
9.44,-0.01585401,,
9.46,-0.015880547,,
9.48,-0.015879934,,
9.5,-0.015879934,,
9.52,-0.015891898,,
9.54,-0.01586214,,
9.56,-0.015862293,,
9.58,-0.015874565,,
9.6,-0.015859839,,
9.62,-0.015850482,,
9.64,-0.015838977,,
9.66,-0.015859992,,
9.68,-0.015838977,,
9.7,-0.015824405,,
9.72,-0.015833301,,
9.74,-0.01585493,,
9.76,-0.015839897,,
9.78,-0.015866128,,
9.8,-0.015877786,,
9.82,-0.015848794,,
9.84,-0.01587932,,
9.86,-0.015901869,,
9.88,-0.01587932,,
9.9,-0.015882695,,
9.92,-0.015884535,,
9.94,-0.015859379,,
9.96,-0.015864747,,
9.98,-0.015837596,,
10,-0.015874718,,
10.02,-0.015825171,,
10.04,-0.015827779,,
10.06,-0.01583867,,
10.08,-0.015840204,,
10.1,-0.015843119,,
10.12,-0.015865361,,
10.14,-0.015875639,,
10.16,-0.015836523,,
10.18,-0.015909539,,
10.2,-0.015860146,,
10.22,-0.015871037,,
10.24,-0.015895887,,
10.26,-0.015872571,,
10.28,-0.015891285,,
10.3,-0.015856157,,
10.32,-0.015831307,,
10.34,-0.015884229,,
10.36,-0.015846647,,
10.38,-0.015849561,,
10.4,-0.015848641,,
10.42,-0.01583054,,
10.44,-0.015855851,,
10.46,-0.015841278,,
10.48,-0.015859225,,
10.5,-0.015852476,,
10.52,-0.015863827,,
10.54,-0.0158626,,
10.56,-0.015879473,,
10.58,-0.015861066,,
10.6,-0.015867662,,
10.62,-0.015881314,,
10.64,-0.015863213,,
10.66,-0.01588699,,
10.68,-0.015874565,,
10.7,-0.015847721,,
10.72,-0.015854623,,
10.74,-0.015827166,,
10.76,-0.015848027,,
10.78,-0.015855237,,
10.8,-0.015826859,,
10.82,-0.015849715,,
10.84,-0.015848027,,
10.86,-0.015869043,,
10.88,-0.015880547,,
10.9,-0.015856618,,
10.92,-0.015892052,,
10.94,-0.015875332,,
10.96,-0.015888217,,
10.98,-0.015876099,,
11,-0.015870423,,
11.02,-0.015854163,,
11.04,-0.015852169,,
11.06,-0.015857845,,
11.08,-0.01583867,,
11.1,-0.015856464,,
11.12,-0.015827779,,
11.14,-0.015840051,,
11.16,-0.01586398,,
11.18,-0.015850482,,
11.2,-0.015843886,,
11.22,-0.015867048,,
11.24,-0.015853396,,
11.26,-0.015880701,,
11.28,-0.015866128,,
11.3,-0.015858458,,
11.32,-0.015864594,,
11.34,-0.015863827,,
11.36,-0.015899108,,
11.38,-0.015881161,,
11.4,-0.015849101,,
11.42,-0.015863367,,
11.44,-0.015873951,,
11.46,-0.015824558,,
